4020.0s 145 Applying LS move: opt=2exchange, delta=-2.3735, current_len=4
4020.0s 146 Applying LS move: opt=2opt, delta=-5.7351, current_len=4
4020.0s 147 Applying LS move: opt=2exchange, delta=-4.7800, current_len=4
4020.0s 148 Applying LS move: opt=oropt_single, delta=-3.8850, current_len=4
4020.0s 149 Applying LS move: opt=2opt*, delta=-2.3239, current_len=4
4020.0s 150 Applying LS move: opt=oropt_single, delta=-7.4164, current_len=4
4020.0s 151 Applying LS move: opt=oropt_single, delta=-6.2208, current_len=4
4020.0s 152 Applying LS move: opt=2opt*, delta=-5.5839, current_len=4
4020.0s 153 Applying LS move: opt=oropt_single, delta=-7.7330, current_len=4
4020.0s 154 Applying LS move: opt=2exchange, delta=-3.1375, current_len=4
4020.0s 155 Applying LS move: opt=2opt*, delta=-2.5318, current_len=4
4020.0s 156 Applying LS move: opt=oropt_single, delta=-2.7650, current_len=4
4020.1s 157 Applying LS move: opt=oropt_single, delta=-3.1714, current_len=4
4020.1s 158 Applying LS move: opt=2exchange, delta=-2.0429, current_len=4
4020.1s 159 Applying LS move: opt=2exchange, delta=-3.6933, current_len=4
4020.1s 160 Applying LS move: opt=oropt_single, delta=-1.6483, current_len=4
4020.1s 161 Applying LS move: opt=2opt*, delta=-10.6528, current_len=4
4020.1s 162 Applying LS move: opt=oropt_single, delta=-4.8148, current_len=4
4020.1s 163 Applying LS move: opt=2opt, delta=-2.8523, current_len=4
4020.1s 164 Applying LS move: opt=oropt_single, delta=-3.2074, current_len=4
4020.1s 165 Applying LS move: opt=2opt, delta=-1.3541, current_len=4
4020.1s 166 Applying LS move: opt=oropt_single, delta=-0.4964, current_len=4
4020.1s 167 Applying LS move: opt=2exchange, delta=-5.9727, current_len=4
4020.1s 168 Applying LS move: opt=2exchange, delta=-2.8613, current_len=4
4020.1s 169 Applying LS move: opt=2exchange, delta=-0.9760, current_len=4
4020.1s 170 Applying LS move: opt=2opt, delta=-2.9781, current_len=4
4020.1s 171 Applying LS move: opt=2opt, delta=-0.5371, current_len=4
